MasterCard|5544139973441056
Visa|4532463001287
Visa|4539976733835
MasterCard|5541490974266866
Visa|4916612788862
MasterCard|5349888725495953
American Express|377419950375474
MasterCard|5143429595972330
MasterCard|5388497103061312
American Express|340620807997105
American Express|373124042823572
MasterCard|5367379816095560
MasterCard|5553632231535576
MasterCard|5151909050143864
American Express|348499172698883
Visa|4929798781098
American Express|348230194477455
MasterCard|5412902709589202
Visa|4539235009092
Visa|4485031455248
Visa|4576009141735
American Express|349578870886350
Visa|4532962485650
Visa|4485360733371
MasterCard|5410234893335776
American Express|378931704109743
Visa|4532539278620
MasterCard|5143503763270113
MasterCard|5288279544029145
Visa|4485605060085
MasterCard|5528674775682960
American Express|341289061565286
Visa|4024007171636
Visa|4485868244244
Visa|4659511684986
MasterCard|5444935367485133
Visa|4556925302173
American Express|348455690401713
MasterCard|5149654586602794
MasterCard|5259684812874582
American Express|341389585771764
Visa|4024007116029
American Express|346744184867097
MasterCard|5134576901860210
Visa|4539732107894
Visa|4716150002035
American Express|377388944499114
American Express|347310919119573
American Express|346735089595379
MasterCard|5421270602765850
Visa|4556203095952
Visa|4532147824963
MasterCard|5471164620956824
Visa|4556077582044
American Express|372207852213926
MasterCard|5470904899815610
MasterCard|5481425171193358
American Express|347480057103000
MasterCard|5536481326435454
Visa|4929494253111
MasterCard|5315989625574994
MasterCard|5307967581742169
American Express|348016735939222
American Express|376859925182003
MasterCard|5518659732145179
Visa|4929312925981
American Express|348681137918189
American Express|348561445860085
Visa|4936972248778
Visa|4556824278979
MasterCard|5550952390301476
MasterCard|5179344060069487
Visa|4556224091667
MasterCard|5449540500370880
Visa|4916887400730
Visa|4916033327365
Visa|4532127074878
MasterCard|5473298632890197
American Express|374516302944395
Visa|4556416157656
Visa|4716455368370
Visa|4539531805987
Visa|4716113951120
Visa|4485884281360
MasterCard|5463254424267823
MasterCard|5149699357765841
MasterCard|5292514878436894
MasterCard|5154763764216921
Visa|4916780148626
Visa|4916153703742
Visa|4539206508494
Visa|4539542134658
Visa|4532868071588
American Express|370951850550670
American Express|372435224346070
MasterCard|5337388100159351
